AÑO,MUNICIPIO,TIPO DE EXPLOTACION,PRODUCCION POR VACA (LITROS/DIA),VACAS PARA ORDEÑO,TOTAL LITROS/DÍA
2016,BUENAVISTA,LECHERIA TRADICIONAL,5,480,2400
2016,BERBEO,DOBLE PROPOSITO,5,50,250
2016,CHIVOR,LECHERIA ESPECIALIZADA,10,50,500
2016,TUNJA,LECHERIA TRADICIONAL,7,620,4340
2016,SABOYA,LECHERIA TRADICIONAL,,7000,
2016,CHISCAS,LECHERIA ESPECIALIZADA,,,
2016,CAMPOHERMOSO,LECHERIA TRADICIONAL,,,
2016,LABRANZAGRANDE,LECHERIA TRADICIONAL,,,
2016,JERICO,DOBLE PROPOSITO,,,
2016,SAN JOSE DE PARE,LECHERIA ESPECIALIZADA,,,
2016,EL ESPINO,LECHERIA TRADICIONAL,,,
2016,NUEVO COLON,DOBLE PROPOSITO,6,90,540
2016,GUACAMAYAS,DOBLE PROPOSITO,3,370,1110
2016,BUSBANZA,LECHERIA ESPECIALIZADA,,,
2016,MONIQUIRA,LECHERIA TRADICIONAL,4,3400,13600
2016,EL ESPINO,DOBLE PROPOSITO,6,800,4800
2016,TASCO,LECHERIA ESPECIALIZADA,,,
2016,EL COCUY,LECHERIA TRADICIONAL,,,
2016,MACANAL,LECHERIA TRADICIONAL,,,
2016,CHINAVITA,LECHERIA TRADICIONAL,10,1609,16090
2016,GUATEQUE,LECHERIA TRADICIONAL,8,75,600
2016,PAIPA,LECHERIA ESPECIALIZADA,30,2500,75000
2016,TOTA,DOBLE PROPOSITO,5,2300,11500
2016,MONIQUIRA,LECHERIA ESPECIALIZADA,20,620,12400
2016,CHIVOR,DOBLE PROPOSITO,4,300,1200
2016,BOAVITA,LECHERIA ESPECIALIZADA,10,100,1000
2016,SANTANA,LECHERIA ESPECIALIZADA,,,
2016,SUTAMARCHAN,LECHERIA ESPECIALIZADA,,,
2016,RAMIRIQUI,DOBLE PROPOSITO,5,1200,6000
2016,ALMEIDA,LECHERIA TRADICIONAL,8,85,680
2016,COVARACHIA,LECHERIA ESPECIALIZADA,,,
2016,SAN EDUARDO,LECHERIA ESPECIALIZADA,11,50,550
2016,IZA,LECHERIA ESPECIALIZADA,18,700,12600
2016,CUBARA,DOBLE PROPOSITO,5,150,750
2016,TIBANA,LECHERIA ESPECIALIZADA,10,50,500
2016,LA CAPILLA,LECHERIA TRADICIONAL,,,
2016,SAMACA,LECHERIA ESPECIALIZADA,15,150,2250
2018,ALMEIDA,LECHERIA ESPECIALIZADA,,,
2018,ALMEIDA,LECHERIA TRADICIONAL,7,70,490
2018,ALMEIDA,DOBLE PROPOSITO,6,380,2280
2018,AQUITANIA,LECHERIA ESPECIALIZADA,,,
2018,AQUITANIA,LECHERIA TRADICIONAL,,,
2018,AQUITANIA,DOBLE PROPOSITO,9,4229,38061
2018,ARCABUCO,LECHERIA ESPECIALIZADA,15,480,7200
2018,ARCABUCO,LECHERIA TRADICIONAL,10,610,6100
2018,ARCABUCO,DOBLE PROPOSITO,7,1540,10780
2018,BELEN,LECHERIA ESPECIALIZADA,15,820,12300
2018,BELEN,LECHERIA TRADICIONAL,6,1130,6780
2018,BELEN,DOBLE PROPOSITO,8,2800,22400
2018,BERBEO,LECHERIA ESPECIALIZADA,,,
2018,BERBEO,LECHERIA TRADICIONAL,6,100,600
2018,BERBEO,DOBLE PROPOSITO,6,65,390
2018,BETEITIVA,LECHERIA ESPECIALIZADA,,,
2018,BETEITIVA,LECHERIA TRADICIONAL,,,
2018,BETEITIVA,DOBLE PROPOSITO,3.5,1000,3500
2018,BOAVITA,LECHERIA ESPECIALIZADA,10,91,910
2018,BOAVITA,LECHERIA TRADICIONAL,4,637,2548
2018,BOAVITA,DOBLE PROPOSITO,8,1270,10160
2018,BOYACA,LECHERIA ESPECIALIZADA,,,
2018,BOYACA,LECHERIA TRADICIONAL,5,1500,7500
2018,BOYACA,DOBLE PROPOSITO,,,
2018,BRICEÑO,LECHERIA ESPECIALIZADA,8,200,1600
2018,BRICEÑO,LECHERIA TRADICIONAL,6,100,600
2018,BRICEÑO,DOBLE PROPOSITO,3,300,900
2018,BUENAVISTA,LECHERIA ESPECIALIZADA,10,200,2000
